prime,valence,target,corrans
brood,threat,ponder,r
twisted,benign,rope,r
hang,threat,dead,r
plot,benign,play,r
arms,threat,race,r
sentence,benign,words,r
execute,threat,shoot,r
retreat,benign,sanctuary,r
arresting,threat,policeman,r
frame,benign,photo,r
revolution,threat,war,r
stalk,benign,flower,r
booking,threat,police,r
fiddle ,benign,instrument,r
forge,threat,signature,r
stole,benign,mink,r
sack,threat,job,r
warp,benign,bend,r
odd,threat,strange,r
simple,benign,easy,r
warped,threat,baised,n
choke,benign,engone,n
hiding,threat,hirt,n
stunning,benign,atlractive,n
chop,threat,knide,n
drop,benign,raon,n
break,threat,snad,n
pelt,benign,skon,n
tank,threat,arny,n
beat,benign,rhothm,n
throttle,threat,kall,n
cane,benign,bambuo,n
bind,threat,hoad,n
crush,benign,oringe,n
box,threat,eurs,n
hit,benign,chirt,n
bow,threat,archary,n
gag,benign,jike,n
clobber,threat,thunp,n
blow,benign,doy,n
smashing,threat,glass,r
lash,benign,eye,r
striking,threat,hitting,r
whip,benign,cream,r
butcher,threat,blood,r
ram,benign,sheep,r
bit,threat,teeth,r
batter,benign,fish,r
bark,threat,bite,r
punch,benign,puppet,r
club,threat,stick,r
stroke,benign,caress,r
corn,threat,plaster,r
strain,benign,sieve,r
infectious,threat,epidemic,r
slip,benign,petticoat,r
fit,threat,illness,r
grub,benign,food,r
wake,threat,death,r
body,benign,shape,r
critical,threat,hospisal,n
terminal,benign,airpurt,n
fell,threat,ovir,n
patient,benign,kond,n
trip,threat,fald,n
graze,benign,hortes,n
strained,threat,mutcle,n
sink,benign,kotchen,n
crank,threat,eccemtric,n
parting,benign,cantre,n
stern,threat,adgry,n
leaves,benign,aotumn,n
lie,threat,filse,n
nag,benign,donkiy,n
incense,threat,amnoy,n
stamp,benign,letper,n
badger,threat,hirass,n
jam,benign,jor,n
maroon,threat,iqland,n
hamper,benign,pocnic,n
lock,neutral,key,r
wit,neutral,humour,r
margin,neutral,page,r
search,neutral,find,r
total,neutral,sum,r
voltage,neutral,current,r
pen,neutral,ink,r
quick,neutral,fast,r
solar,neutral,sun,r
actor,neutral,actress,r
jacket,neutral,cout,n
nearby,neutral,clise,n
wagon,neutral,wheal,n
library,neutral,borks,n
quarter,neutral,hulf,n
bathe,neutral,srim,n
fragment,neutral,paece,n
acquaint,neutral,knuw,n
butter,neutral,breid,n
grass,neutral,graen,n
